huy	h u y
đã	đ ã
sẽ	s ẽ
ngon	n g o n
rồi	r ồ i
sao	s a o
thức	t h ứ c
ăn	ă n
đủ	đ ủ
dinh	d i n h
dưỡng	d ư ỡ n g
đồng	đ ồ n g
thời	t h ờ i
khi	k h i
chế	c h ế
biến	b i ế n
mùi	m ù i
khói	k h ó i
độc	đ ộ c
ảnh	ả n h
hưởng	h ư ở n g
sức	s ứ c
khỏe	k h ỏ e
cả	c ả
gia	g i a
đình	đ ì n h
nhận	n h ậ n
đám	đ á m
tiệc	t i ệ c
cưới	c ư ớ i
hỏi	h ỏ i
gần	g ầ n
xa	x a
luôn	l u ô n
mẫu	m ẫ u
xe	x e
hoa	h o a
đời	đ ờ i
mới	m ớ i
hà	h à
nội	n ộ i
lấy	l ấ y
ý	ý
kiến	k i ế n
về	v ề
việc	v i ệ c
chặt	c h ặ t
hạ	h ạ
thay	t h a y
thế	t h ế
toàn	t o à n
bộ	b ộ
cây	c â y
xà	x à
cừ	c ừ
vi	v i
đi	đ i
cường	c ư ờ n g
đô	đ ô
la	l a
xóa	x ó a
tan	t a n
nghi	n g h i
án	á n
đường	đ ư ờ n g
ai	a i
nấy	n ấ y
mỗi	m ỗ i
chúng	c h ú n g
ta	t a
đều	đ ề u
một	m ộ t
điều	đ i ề u
gì	g ì
đó	đ ó
cho	c h o
giới	g i ớ i
khả	k h ả
năng	n ă n g
nhanh	n h a n h
chóng	c h ó n g
đánh	đ á n h
hơi	h ơ i
giả	g i ả
cơ	c ơ
quan	q u a n
xử	x ử
lý	l ý
hồ	h ồ
sơ	s ơ
đăng	đ ă n g
ký	k ý
nhãn	n h ã n
tại	t ạ i
việt	v i ệ t
chí	c h í
lựa	l ự a
chọn	c h ọ n
địa	đ ị a
chỉ	c h ỉ
niềng	n i ề n g
răng	r ă n g
uy	u y
tín	t í n
ở	ở
sài	s à i
gòn	g ò n
xương	x ư ơ n g
bệnh	b ệ n h
miệng	m i ệ n g
hề	h ề
hiếm	h i ế m
gặp	g ặ p
đáng	đ á n g
tự	t ự
hào	h à o
món	m ó n
phở	p h ở
bò	b ò
mặt	m ặ t
vị	v ị
trí	t r í
đầu	đ ầ u
danh	d a n h
sách	s á c h
linh	l i n h
đại	đ ạ i
sứ	s ứ
chiến	c h i ế n
dịch	d ị c h
đội	đ ộ i
mũ	m ũ
bảo	b ả o
hiểm	h i ể m
chủ	c h ủ
tịch	t ị c h
thái	t h á i
sơn	s ơ n
trần	t r ầ n
anh	a n h
tú	t ú
trưởng	t r ư ở n g
văn	v ă n
vũ	v ũ
thất	t h ấ t
tình	t ì n h
lẽ	l ẽ
tồi	t ồ i
tệ	t ệ
từng	t ừ n g
bị	b ị
phát	p h á t
hiện	h i ệ n
giống	g i ố n g
hệt	h ệ t
gốc	g ố c
chi	c h i
tiết	t i ế t
nhỏ	n h ỏ
chuyện	c h u y ệ n
xảy	x ả y
ra	r a
đột	đ ộ t
ngột	n g ộ t
dọa	d ọ a
sợ	s ợ
hết	h ế t
mọi	m ọ i
tô	t ô
mộ	m ộ
tới	t ớ i
mức	m ứ c
hô	h ô
lớn	l ớ n
kêu	k ê u
gọi	g ọ i
y	y
loạt	l o ạ t
nghị	n g h ị
đổ	đ ổ
vốn	v ố n
tỷ	t ỷ
usd	u s d
vào	v à o
sau	s a u
vay	v a y
tiền	t i ề n
vợ	v ợ
lẩn	l ẩ n
trả	t r ả
tóc	t ó c
hậu	h ậ u
thu	t h u
hoài	h o à i
nghệ	n g h ệ
sĩ	s ĩ
trang	t r a n g
phục	p h ụ c
trắng	t r ắ n g
tham	t h a m
dự	d ự
do	d o
sàn	s à n
ngoài	n g o à i
trời	t r ờ i
độ	đ ộ
bền	b ề n
thẩm	t h ẩ m
đẹp	đ ẹ p
thi	t h i
các	c á c
hạng	h ạ n g
mục	m ụ c
trình	t r ì n h
nó	n ó
tiên	t i ê n
cô	c ô
gái	g á i
lãng	l ã n g
mạn	m ạ n
dịu	d ị u
dàng	d à n g
nữ	n ữ
tính	t í n h
màu	m à u
thấy	t h ấ y
giữa	g i ữ a
hai	h a i
lông	l ô n g
mày	m à y
thường	t h ư ờ n g
phổi	p h ổ i
nỗi	n ỗ i
buồn	b u ồ n
rõ	r õ
khuôn	k h u ô n
dân	d â n
nơi	n ơ i
góc	g ó c
phòng	p h ò n g
bày	b à y
thú	t h ú
bông	b ô n g
bạn	b ạ n
bè	b è
hâm	h â m
ngọc	n g ọ c
hân	h â n
yêu	y ê u
thích	t h í c h
thử	t h ử
thách	t h á c h
tù	t ù
tá	t á
ngày	n g à y
đọc	đ ọ c
hiểu	h i ể u
áp	á p
nguyên	n g u y ê n
tắc	t ắ c
tiễn	t i ễ n
giàu	g i à u
nay	n a y
đơn	đ ơ n
giản	g i ả n
đặc	đ ặ c
biệt	b i ệ t
kiếm	k i ế m
hội	h ộ i
đưa	đ ư a
sản	s ả n
phẩm	p h ẩ m
trà	t r à
vả	v ả
nước	n ư ớ c
máy	m á y
lạnh	l ạ n h
thảm	t h ả m
lót	l ó t
hệ	h ệ
thống	t h ố n g
chiếu	c h i ế u
kiệm	k i ệ m
điện	đ i ệ n
thâm	t h â m
hơn	h ơ n
thạch	t h ạ c h
viết	v i ế t
bức	b ứ c
thư	t h ư
đề	đ ề
tên	t ê n
cảnh	c ả n h
sát	s á t
khu	k h u
vực	v ự c
nhằm	n h ằ m
đe	đ e
bà	b à
cơn	c ơ n
nhức	n h ứ c
xuất	x u ấ t
thoái	t h o á i
cột	c ộ t
sống	s ố n g
yếu	y ế u
trạng	t r ạ n g
viêm	v i ê m
lần	l ầ n
trường	t r ư ờ n g
tôi	t ô i
giáo	g i á o
viên	v i ê n
đua	đ u a
trái	t r á i
ngược	n g ư ợ c
ê	ê
kíp	k í p
phim	p h i m
hùng	h ù n g
dàn	d à n
diễn	d i ễ n
cha	c h a
cõng	c õ n g
gương	g ư ơ n g
ngang	n g a n g
khai	k h a i
thiếu	t h i ế u
nợ	n ợ
nên	n ê n
gây	g â y
vụ	v ụ
cướp	c ư ớ p
giờ	g i ờ
sóng	s ó n g
gió	g i ó
thùy	t h ù y
chút	c h ú t
nghĩ	n g h ĩ
ngợi	n g ợ i
lầm	l ầ m
cũ	c ũ
chú	c h ú
vì	v ì
ngoại	n g o ạ i
hình	h ì n h
nóng	n ó n g
bỏng	b ỏ n g
hộ	h ộ
tranh	t r a n h
luận	l u ậ n
chiều	c h i ề u
trước	t r ư ớ c
hành	h à n h
động	đ ộ n g
chức	c h ứ c
cuộc	c u ộ c
kịp	k ị p
ngăn	n g ă n
chặn	c h ặ n
chuyên	c h u y ê n
cung	c u n g
cấp	c ấ p
loại	l o ạ i
nhôm	n h ô m
thanh	t h a n h
định	đ ị n h
theo	t h e o
tiến	t i ế n
nghĩa	n g h ĩ a
hằng	h ằ n g
thành	t h à n h
nổi	n ổ i
tiếng	t i ế n g
chung	c h u n g
bật	b ậ t
phút	p h ú t
chót	c h ó t
nói	n ó i
ba	b a
vậy	v ậ y
vệ	v ệ
bỏ	b ỏ
chạy	c h ạ y
đàn	đ à n
vẫn	v ẫ n
cầm	c ầ m
dao	d a o
đuổi	đ u ổ i
đâm	đ â m
nhát	n h á t
vùng	v ù n g
ngực	n g ự c
cổ	c ổ
khiến	k h i ế n
nạn	n ạ n
nhân	n h â n
gục	g ụ c
chỗ	c h ỗ
mặc	m ặ c
chiếc	c h i ế c
áo	á o
phông	p h ô n g
xanh	x a n h
nhạt	n h ạ t
quần	q u ầ n
dài	d à i
be	b e
đeo	đ e o
kính	k í n h
mát	m á t
quen	q u e n
thuộc	t h u ộ c
viện	v i ệ n
sắm	s ắ m
may	m a y
như	n h ư
bằng	b ằ n g
chứng	c h ứ n g
ngờ	n g ờ
bí	b í
mật	m ậ t
hẹn	h ẹ n
hò	h ò
cư	c ư
mạng	m ạ n g
tinh	t i n h
phụ	p h ụ
càng	c à n g
nặng	n ặ n g
biểu	b i ể u
huyết	h u y ế t
chưa	c h ư a
buộc	b u ộ c
phẫu	p h ẫ u
thuật	t h u ậ t
cứu	c ứ u
loan	l o a n
dung	d u n g
đuối	đ u ố i
khiêm	k h i ê m
nhường	n h ư ờ n g
lành	l à n h
hầu	h ầ u
cố	c ố
tra	t r a
giật	g i ậ t
tông	t ô n g
hồng	h ồ n g
cánh	c á n h
trở	t r ở
thật	t h ậ t
hấp	h ấ p
dẫn	d ẫ n
tuy	t u y
nhiên	n h i ê n
rằng	r ằ n g
muốn	m u ố n
thêm	t h ê m
nhắm	n h ắ m
ty	t y
triều	t r i ề u
đen	đ e n
kinh	k i n h
doanh	d o a n h
ngả	n g ả
trung	t r u n g
quốc	q u ố c
sông	s ô n g
long	l o n g
nghiệp	n g h i ệ p
dây	d â y
kê	k ê
lập	l ậ p
chòi	c h ò i
lợi	l ợ i
bất	b ấ t
hút	h ú t
cát	c á t
lậu	l ậ u
nghiên	n g h i ê n
nhà	n h à
khoa	k h o a
học	h ọ c
da	d a
lão	l ã o
hoá	h o á
tố	t ố
khí	k h í
dầu	d ầ u
thuốc	t h u ố c
lá	l á
tử	t ử
thơm	t h ơ m
điểm	đ i ể m
lễ	l ễ
diện	d i ệ n
đồ	đ ồ
bơi	b ơ i
trượt	t r ư ợ t
tuyết	t u y ế t
chấp	c h ấ p
chỉn	c h ỉ n
chu	c h u
đắt	đ ắ t
đỏ	đ ỏ
kiện	k i ệ n
nhã	n h ã
giải	g i ả i
tỏa	t ỏ a
xúc	x ú c
làn	l à n
mịn	m ị n
màng	m à n g
môn	m ô n
lịch	l ị c h
gũi	g ũ i
thắp	t h ắ p
niềm	n i ề m
hứng	h ứ n g
đam	đ a m
em	e m
sinh	s i n h
phương	p h ư ơ n g
mai	m a i
táo	t á o
bạo	b ạ o
đầm	đ ầ m
cắt	c ắ t
xẻ	x ẻ
duy	d u y
trì	t r ì
sạch	s ạ c h
rửa	r ử a
xuyên	x u y ê n
hoặc	h o ặ c
đái	đ á i
dầm	d ầ m
nhuộm	n h u ộ m
cầu	c ầ u
kỳ	k ỳ
truyền	t r u y ề n
ngắn	n g ắ n
bổ	b ổ
luống	l u ố n g
trào	t r à o
lưu	l ư u
đoạn	đ o ạ n
sốc	s ố c
thủ	t h ủ
báo	b á o
phanh	p h a n h
phui	p h u i
ép	é p
nghỉ	n g h ỉ
ghen	g h e n
mẹ	m ẹ
hé	h é
lộ	l ộ
gay	g a y
cấn	c ấ n
ngân	n g â n
ts	t s
hôm	h ô m
bước	b ư ớ c
lãnh	l ã n h
suốt	s u ố t
nữa	n ữ a
hồn	h ồ n
tộc	t ộ c
xế	x ế
lơ	l ơ
mỏi	m ỏ i
mệt	m ệ t
huống	h u ố n g
xấu	x ấ u
thể	t h ể
tường	t ư ờ n g
sửa	s ử a
đổi	đ ổ i
đích	đ í c h
vui	v u i
chơi	c h ơ i
vương	v ư ơ n g
quán	q u á n
rất	r ấ t
hỗn	h ỗ n
cực	c ự c
mã	m ã
giỏi	g i ỏ i
bởi	b ở i
lắm	l ắ m
gớm	g ớ m
phân	p h â n
đệ	đ ệ
khớp	k h ớ p
căn	c ă n
phổ	p h ổ
lúc	l ú c
sắp	s ắ p
xịt	x ị t
chân	c h â n
mất	m ấ t
chương	c h ư ơ n g
năm	n ă m
lửa	l ử a
ban	b a n
nhạc	n h ạ c
thân	t h â n
nửa	n ử a
kia	k i a
mua	m u a
ủng	ủ n g
thải	t h ả i
vấn	v ấ n
tối	t ố i
tầm	t ầ m
đông	đ ô n g
đèn	đ è n
pha	p h a
ngẫm	n g ẫ m
quyền	q u y ề n
lộc	l ộ c
tật	t ậ t
chị	c h ị
ngại	n g ạ i
cứ	c ứ
đứng	đ ứ n g
quỹ	q u ỹ
dễ	d ễ
minh	m i n h
nguyệt	n g u y ệ t
đóng	đ ó n g
góp	g ó p
kể	k ể
tuyển	t u y ể n
chuyến	c h u y ế n
ấy	ấ y
lực	l ự c
tam	t a m
che	c h e
tròn	t r ò n
tháp	t h á p
lục	l ụ c
lăng	l ă n g
bát	b á t
di	d i
hạnh	h ạ n h
nhi	n h i
vịnh	v ị n h
gửi	g ử i
vòng	v ò n g
chia	c h i a
thập	t h ậ p
ác	á c
bại	b ạ i
hoàn	h o à n
trống	t r ố n g
giám	g i á m
khách	k h á c h
lật	l ậ t
đêm	đ ê m
lào	l à o
in	i n
đoàn	đ o à n
tàu	t à u
dừng	d ừ n g
hẳn	h ẳ n
bụi	b ụ i
bẩn	b ẩ n
tạp	t ạ p
bã	b ã
thừa	t h ừ a
tận	t ậ n
sâu	s â u
lỗ	l ỗ
khô	k h ô
chợ	c h ợ
rẽ	r ẽ
xã	x ã
cam	c a m
tuyên	t u y ê n
kẹo	k ẹ o
dụ	d ụ
dỗ	d ỗ
du	d u
dã	d ã
trai	t r a i
đớn	đ ớ n
khối	k h ố i
não	n ã o
bác	b á c
sỹ	s ỹ
họng	h ọ n g
ly	l y
gầm	g ầ m
nhẹ	n h ẹ
ôm	ô m
nụ	n ụ
hôn	h ô n
nhiệt	n h i ệ t
xưng	x ư n g
ngũ	n g ũ
lương	l ư ơ n g
tướng	t ư ớ n g
trương	t r ư ơ n g
liêu	l i ê u
vu	v u
cấm	c ấ m
cáp	c á p
hoảng	h o ả n g
tháng	t h á n g
trị	t r ị
sang	s a n g
thương	t h ư ơ n g
bé	b é
khống	k h ố n g
sẵn	s ẵ n
sàng	s à n g
ngõ	n g õ
ô	ô
phố	p h ố
hoàng	h o à n g
thám	t h á m
tốt	t ố t
thắt	t h ắ t
lưng	l ư n g
lâu	l â u
trọng	t r ọ n g
hay	h a y
thiệu	t h i ệ u
giao	g i a o
trực	t r ự c
rẻ	r ẻ
số	s ố
lượng	l ư ợ n g
kẻ	k ẻ
chết	c h ế t
bổng	b ổ n g
khó	k h ó
trùm	t r ù m
phan	p h a n
quân	q u â n
giặc	g i ặ c
lôi	l ô i
kéo	k é o
quý	q u ý
sai	s a i
nhật	n h ậ t
tích	t í c h
sớm	s ớ m
hung	h u n g
ánh	á n h
chanh	c h a n h
chắc	c h ắ c
chắn	c h ắ n
dành	d à n h
giảm	g i ả m
cân	c â n
đặn	đ ặ n
tăng	t ă n g
rệt	r ệ t
chống	c h ố n g
tuổi	t u ổ i
thọ	t h ọ
nếu	n ế u
chữa	c h ữ a
triệt	t r i ệ t
tai	t a i
nghiêm	n g h i ê m
tức	t ứ c
óc	ó c
tạm	t ạ m
thứ	t h ứ
hoạt	h o ạ t
ổn	ổ n
cải	c ả i
suất	s u ấ t
pin	p i n
so	s o
lứa	l ứ a
mong	m o n g
cán	c á n
dục	d ụ c
tư	t ư
tưởng	t ư ở n g
rèn	r è n
luyện	l u y ệ n
thần	t h ầ n
dáng	d á n g
váy	v á y
bút	b ú t
chì	c h ì
vẻ	v ẻ
quyến	q u y ế n
rũ	r ũ
hắn	h ắ n
lừa	l ừ a
đểu	đ ể u
vôi	v ô i
bột	b ộ t
hoà	h o à
ph	p h
hẹp	h ẹ p
vọng	v ọ n g
nhảy	n h ả y
lũy	l ũ y
kỹ	k ỹ
trợ	t r ợ
nhẫn	n h ẫ n
tâm	t â m
mấy	m ấ y
khóa	k h ó a
cụ	c ụ
non	n o n
đâu	đ â u
thổi	t h ổ i
phong	p h o n g
mắt	m ắ t
niên	n i ê n
bây	b â y
mốt	m ố t
bề	b ề
khôn	k h ô n
cộng	c ộ n g
đáo	đ á o
ngủ	n g ủ
giấc	g i ấ c
ngơi	n g ơ i
giãn	g i ã n
trúc	t r ú c
sư	s ư
nâng	n â n g
đẳng	đ ẳ n g
hàu	h à u
kích	k í c h
khá	k h á
nguy	n g u y
ví	v í
mắc	m ắ c
buồng	b u ồ n g
trứng	t r ứ n g
hữu	h ữ u
nhiễm	n h i ễ m
tòa	t ò a
thuận	t h u ậ n
nhộn	n h ộ n
nhịp	n h ị p
hồi	h ồ i
phạm	p h ạ m
sanh	s a n h
châu	c h â u
phỏng	p h ỏ n g
ngừa	n g ừ a
ung	u n g
mưa	m ư a
thang	t h a n g
nuôi	n u ô i
dĩ	d ĩ
ấm	ấ m
cúng	c ú n g
biển	b i ể n
tơ	t ơ
treo	t r e o
tập	t ậ p
canh	c a n h
rớt	r ớ t
trùng	t r ù n g
đào	đ à o
ca	c a
quá	q u á
hỗ	h ỗ
kiệt	k i ệ t
gồng	g ồ n g
đúng	đ ú n g
pháp	p h á p
luật	l u ậ t
phù	p h ù
lời	l ờ i
khiếu	k h i ế u
nại	n ạ i
kiểm	k i ể m
mối	m ố i
xứ	x ứ
bối	b ố i
bom	b o m
đạn	đ ạ n
khoai	k h o a i
tây	t â y
trữ	t r ữ
liệu	l i ệ u
voan	v o a n
nét	n é t
nàng	n à n g
hảo	h ả o
bên	b ê n
lẫn	l ẫ n
kiểu	k i ể u
chưng	c h ư n g
thắng	t h ắ n g
kiêng	k i ê n g
nà	n à
đoản	đ o ả n
cú	c ú
tã	t ã
thèm	t h è m
tao	t a o
nhỉ	n h ỉ
nè	n è
tiện	t i ệ n
tế	t ế
chờ	c h ờ
kết	k ế t
cuối	c u ố i
tụng	t ụ n g
oanh	o a n h
xác	x á c
chấm	c h ấ m
dứt	d ứ t
buổi	b u ổ i
họp	h ọ p
đồn	đ ồ n
tất	t ấ t
lỗi	l ỗ i
hãy	h ã y
liên	l i ê n
vé	v é
ưu	ư u
đãi	đ ã i
bay	b a y
nhé	n h é
đai	đ a i
lao	l a o
toán	t o á n
quyết	q u y ế t
nát	n á t
bắt	b ắ t
ít	í t
e	e
cái	c á i
ngoan	n g o a n
mảnh	m ả n h
chàng	c h à n g
soái	s o á i
xinh	x i n h
cười	c ư ờ i
chảy	c h ả y
nhổ	n h ổ
tiểu	t i ể u
buốt	b u ố t
vô	v ô
rộng	r ộ n g
rãi	r ã i
phái	p h á i
chim	c h i m
bồ	b ồ
câu	c â u
vừa	v ừ a
ràng	r à n g
mềm	m ề m
ngọt	n g ọ t
thôi	t h ô i
thấp	t h ấ p
đòi	đ ò i
sổ	s ổ
hạn	h ạ n
phú	p h ú
nha	n h a
an	a n
miễn	m i ễ n
phí	p h í
lắp	l ắ p
gọn	g ọ n
lẹ	l ẹ
nối	n ố i
bờ	b ờ
kênh	k ê n h
dị	d ị
ứng	ứ n g
sữa	s ữ a
bú	b ú
phản	p h ả n
thăng	t h ă n g
trầm	t r ầ m
nhọc	n h ọ c
lọc	l ọ c
xơ	x ơ
vải	v ả i
giữ	g i ữ
nhấp	n h ấ p
bảng	b ả n g
đáp	đ á p
trao	t r a o
vỏ	v ỏ
kim	k i m
nghiền	n g h i ề n
mũi	m ũ i
lo	l o
tiếc	t i ế c
rau	r a u
diếp	d i ế p
cá	c á
mụn	m ụ n
nhọt	n h ọ t
sẹo	s ẹ o
nám	n á m
tàn	t à n
nhang	n h a n g
chớ	c h ớ
tỏ	t ỏ
chịu	c h ị u
vài	v à i
khen	k h e n
đòn	đ ò n
roi	r o i
bế	b ế
mâu	m â u
thuẫn	t h u ẫ n
vâng	v â n g
chán	c h á n
đừng	đ ừ n g
cập	c ậ p
phi	p h i
bài	b à i
uống	u ố n g
rượu	r ư ợ u
bia	b i a
tung	t u n g
chiêu	c h i ê u
ngô	n g ô
điên	đ i ê n
phật	p h ậ t
cùa	c ù a
nuốt	n u ố t
rời	r ờ i
khỏi	k h ỏ i
dược	d ư ợ c
bì	b ì
bầu	b ầ u
nắm	n ắ m
ngón	n g ó n
thở	t h ở
tẩm	t ẩ m
ong	o n g
xuống	x u ố n g
nhu	n h u
khuyến	k h u y ế n
khích	k h í c h
chuyển	c h u y ể n
xin	x i n
thau	t h a u
dọn	d ọ n
bể	b ể
quận	q u ậ n
trưng	t r ư n g
khuất	k h u ấ t
tu	t u
tuyệt	t u y ệ t
đao	đ a o
niết	n i ế t
diệt	d i ệ t
béo	b é o
bụng	b ụ n g
hài	h à i
hòa	h ò a
bực	b ự c
bội	b ộ i
tiệm	t i ệ m
tĩnh	t ĩ n h
tống	t ố n g
gậy	g ậ y
chổi	c h ổ i
xua	x u a
trăm	t r ă m
đu	đ u
thừng	t h ừ n g
leo	l e o
vách	v á c h
núi	n ú i
dâng	d â n g
hương	h ư ơ n g
vua	v u a
dưa	d ư a
gang	g a n g
min	m i n
khoáng	k h o á n g
tọa	t ọ a
lạc	l ạ c
trục	t r ụ c
xuân	x u â n
võ	v õ
đỉnh	đ ỉ n h
chẳng	c h ẳ n g
ham	h a m
thăm	t h ă m
lòng	l ò n g
cáo	c á o
oan	o a n
kiều	k i ề u
biện	b i ệ n
gạo	g ạ o
lứt	l ứ t
chuẩn	c h u ẩ n
khám	k h á m
phác	p h á c
lê	l ê
sốt	s ố t
ven	v e n
bùng	b ù n g
gian	g i a n
nỡ	n ỡ
bướm	b ư ớ m
giết	g i ế t
rừng	r ừ n g
ống	ố n g
xô	x ô
ấn	ấ n
xót	x ó t
giọng	g i ọ n g
lừng	l ừ n g
lẫy	l ẫ y
gam	g a m
phom	p h o m
thượng	t h ư ợ n g
phúc	p h ú c
tuýp	t u ý p
sắt	s ắ t
tấn	t ấ n
bóp	b ó p
vong	v o n g
cản	c ả n
tổ	t ổ
trúng	t r ú n g
khắc	k h ắ c
khăn	k h ă n
nắng	n ắ n g
đẩy	đ ẩ y
nôi	n ô i
xách	x á c h
phá	p h á
giang	g i a n g
tạt	t ạ t
a	a
xít	x í t
nhàn	n h à n
khoán	k h o á n
hiển	h i ể n
dữ	d ữ
tợn	t ợ n
xi	x i
nhan	n h a n
trông	t r ô n g
quà	q u à
chiếm	c h i ế m
nhiếp	n h i ế p
quay	q u a y
giường	g i ư ờ n g
chối	c h ố i
bắc	b ắ c
chảo	c h ả o
ngập	n g ậ p
bếp	b ế p
chiên	c h i ê n
vàng	v à n g
mông	m ô n g
mi	m i
duyên	d u y ê n
pô	p ô
ngay	n g a y
dấu	d ấ u
kĩ	k ĩ
nồng	n ồ n g
nhẹn	n h ẹ n
mưu	m ư u
tăm	t ă m
bừng	b ừ n g
sặc	s ặ c
sỡ	s ỡ
bứt	b ứ t
rứt	r ứ t
căng	c ă n g
thẳng	t h ẳ n g
loạn	l o ạ n
cuồng	c u ồ n g
thoát	t h o á t
chốn	c h ố n
ngục	n g ụ c
phủ	p h ủ
vàn	v à n
gà	g à
om	o m
lang	l a n g
lạ	l ạ
mại	m ạ i
tản	t ả n
chém	c h é m
tấp	t ấ p
gãy	g ã y
vấp	v ấ p
ngã	n g ã
tui	t u i
khẩn	k h ẩ n
vật	v ậ t
thúc	t h ú c
dịp	d ị p
sếp	s ế p
hời	h ờ i
hợt	h ợ t
nhóm	n h ó m
bốn	b ố n
đa	đ a
đỡ	đ ỡ
kém	k é m
mắn	m ắ n
sánh	s á n h
tắt	t ắ t
trút	t r ú t
sườn	s ư ờ n
đĩa	đ ĩ a
rắc	r ắ c
cọng	c ọ n g
xong	x o n g
thù	t h ù
chột	c h ộ t
mực	m ự c
nang	n a n g
ván	v á n
cơm	c ơ m
sét	s é t
bách	b á c h
vội	v ộ i
ạ	ạ
sa	s a
mạc	m ạ c
phía	p h í a
móc	m ó c
gỗ	g ỗ
tắm	t ắ m
sạn	s ạ n
búp	b ú p
bê	b ê
bồn	b ồ n
hư	h ư
hỏng	h ỏ n g
túi	t ú i
giấy	g i ấ y
đảm	đ ả m
môi	m ô i
phần	p h ầ n
vết	v ế t
giun	g i u n
sán	s á n
tội	t ộ i
chừa	c h ừ a
thói	t h ó i
làng	l à n g
bích	b í c h
vẽ	v ẽ
ruộng	r u ộ n g
mướt	m ư ớ t
trọn	t r ọ n
ngôi	n g ô i
sum	s u m
suê	s u ê
lí	l í
ảo	ả o
xem	x e m
đúc	đ ú c
náo	n á o
tha	t h a
quê	q u ê
cạnh	c ạ n h
hãng	h ã n g
mống	m ố n g
vân	v â n
lĩnh	l ĩ n h
phép	p h é p
khiển	k h i ể n
cốt	c ố t
nằm	n ằ m
vỉa	v ỉ a
hè	h è
buôn	b u ô n
chấn	c h ấ n
cuốn	c u ố n
pa	p a
khuyên	k h u y ê n
le	l e
nin	n i n
khán	k h á n
đài	đ à i
xôn	x ô n
xao	x a o
trò	t r ò
đụng	đ ụ n g
đũa	đ ũ a
nhớ	n h ớ
khoản	k h o ả n
xứng	x ứ n g
cám	c á m
đắp	đ ắ p
seo	s e o
rao	r a o
vặt	v ặ t
ắp	ắ p
kỷ	k ỷ
niệm	n i ệ m
song	s o n g
lây	l â y
ngứa	n g ứ a
nốt	n ố t
loét	l o é t
khâu	k h â u
gấu	g ấ u
hổng	h ổ n g
đằng	đ ằ n g
thiên	t h i ê n
quấn	q u ấ n
quýt	q u ý t
mở	m ở
cửa	c ử a
kiên	k i ê n
mạo	m ạ o
choáng	c h o á n g
váng	v á n g
rể	r ể
cấu	c ấ u
khảo	k h ả o
chăm	c h ă m
sóc	s ó c
sắc	s ắ c
thảo	t h ả o
bạch	b ạ c h
thị	t h ị
lìa	l ì a
mách	m á c h
dạ	d ạ
dày	d à y
quảng	q u ả n g
khỏa	k h ỏ a
quản	q u ả n
ngạch	n g ạ c h
khem	k h e m
cà	c à
phê	p h ê
rang	r a n g
hạt	h ạ t
dạo	d ạ o
quanh	q u a n h
tầng	t ầ n g
